-0.92,0.02,-0.43
-0.92,0.01,-0.43
-0.92,0.02,-0.43
-0.92,0.02,-0.44
-0.92,0.03,-0.44
-0.92,0.03,-0.44
-0.92,0.03,-0.44
-0.92,0.02,-0.44
-0.92,0.02,-0.44
-0.92,0.02,-0.44
-0.92,0.02,-0.44
-0.92,0.03,-0.44
-0.92,0.03,-0.43
-0.92,0.02,-0.43
-0.92,0.02,-0.44
-0.92,0.02,-0.44
-0.92,0.02,-0.44
-0.93,0.02,-0.44
-0.92,0.02,-0.43
-0.92,0.02,-0.43
-0.92,0.02,-0.43
-0.92,0.02,-0.43
-0.93,0.02,-0.43
-0.92,0.03,-0.43
-0.92,0.03,-0.44
-0.92,0.04,-0.44
-0.92,0.04,-0.44
-0.92,0.03,-0.43
-0.92,0.03,-0.43
-0.92,0.03,-0.43
-0.93,0.02,-0.43
-0.92,0.02,-0.43
-0.92,0.02,-0.43
-0.92,0.02,-0.43
-0.92,0.03,-0.43
-0.92,0.03,-0.43
-0.92,0.03,-0.44
-0.92,0.03,-0.44
-0.92,0.03,-0.43
-0.92,0.02,-0.43
-0.93,0.02,-0.42
-0.92,0.01,-0.43
-0.93,0.01,-0.43
-0.93,0.02,-0.43
-0.92,0.02,-0.44
-0.92,0.02,-0.43
-0.92,0.02,-0.43
-0.92,0.03,-0.43
-0.92,0.03,-0.43
-0.92,0.03,-0.44
-0.92,0.03,-0.44
-0.92,0.03,-0.44
-0.92,0.03,-0.43
-0.92,0.03,-0.43
-0.92,0.02,-0.43
-0.92,0.03,-0.44
-0.92,0.03,-0.43
-0.92,0.03,-0.43
-0.92,0.03,-0.43
-0.92,0.03,-0.43
-0.92,0.02,-0.44
-0.92,0.02,-0.43
-0.92,0.02,-0.44
-0.92,0.03,-0.44
-0.92,0.03,-0.44
-0.92,0.03,-0.43
-0.92,0.03,-0.43
-0.92,0.02,-0.43
-0.92,0.02,-0.43
-0.92,0.02,-0.43
-0.93,0.02,-0.43
-0.92,0.02,-0.43
-0.92,0.02,-0.44
-0.92,0.03,-0.44
-0.92,0.03,-0.43
-0.92,0.03,-0.43
-0.92,0.03,-0.43
-0.92,0.03,-0.43
-0.92,0.03,-0.43
-0.92,0.03,-0.43
-0.92,0.02,-0.43
-0.92,0.02,-0.43
-0.92,0.02,-0.43
-0.92,0.02,-0.43
-0.92,0.02,-0.43
-0.92,0.02,-0.43
-0.93,0.02,-0.43
-0.92,0.02,-0.43
-0.92,0.02,-0.43
-0.92,0.02,-0.44
-0.92,0.02,-0.44
-0.92,0.02,-0.43
-0.93,0.03,-0.43
-0.92,0.02,-0.42
-0.92,0.02,-0.42
-0.93,0.02,-0.43
-0.92,0.02,-0.43
-0.92,0.03,-0.43
-0.92,0.03,-0.44
-0.92,0.03,-0.44
-0.92,0.03,-0.43
-0.92,0.02,-0.43
-0.92,0.02,-0.43
-0.93,0.02,-0.43
-0.92,0.02,-0.43
-0.93,0.02,-0.42
-0.93,0.02,-0.42
-0.92,0.02,-0.43
-0.92,0.02,-0.43
-0.92,0.03,-0.43
-0.92,0.03,-0.44
-0.92,0.03,-0.43
-0.92,0.03,-0.43
-0.92,0.02,-0.43
-0.92,0.02,-0.42
-0.93,0.02,-0.42
-0.93,0.02,-0.43
-0.93,0.03,-0.43
-0.93,0.03,-0.43
-0.92,0.03,-0.43
-0.92,0.03,-0.43
-0.92,0.02,-0.43
-0.92,0.02,-0.43
-0.93,0.02,-0.43
-0.92,0.02,-0.43
-0.92,0.03,-0.43
-0.92,0.03,-0.43
-0.92,0.03,-0.43
-0.93,0.02,-0.43
-0.92,0.02,-0.43
-0.93,0.02,-0.43
-0.93,0.03,-0.42
-0.92,0.02,-0.42
-0.92,0.02,-0.43
-0.92,0.02,-0.43
-0.93,0.02,-0.43
-0.92,0.02,-0.43
-0.92,0.02,-0.43
-0.92,0.03,-0.43
-0.93,0.03,-0.43
-0.93,0.02,-0.42
-0.93,0.02,-0.42
-0.93,0.02,-0.43
-0.92,0.02,-0.43
-0.93,0.03,-0.43
-0.92,0.03,-0.43
-0.92,0.03,-0.43
-0.92,0.03,-0.43
-0.92,0.03,-0.42
-0.92,0.02,-0.42
-0.92,0.02,-0.43
-0.93,0.02,-0.43
-0.93,0.03,-0.43
-0.93,0.03,-0.43
-0.92,0.03,-0.43
-0.92,0.02,-0.43
-0.92,0.02,-0.42
-0.92,0.02,-0.43
-0.93,0.03,-0.43
-0.93,0.03,-0.42
-0.93,0.02,-0.42
-0.93,0.02,-0.43
-0.93,0.03,-0.43
-0.92,0.03,-0.43
-0.92,0.03,-0.42
-0.92,0.03,-0.42
-0.92,0.03,-0.43
-0.92,0.03,-0.43
-0.92,0.03,-0.43
-0.92,0.03,-0.43
-0.92,0.03,-0.43
-0.93,0.03,-0.43
-0.93,0.03,-0.43
-0.93,0.03,-0.43
-0.93,0.03,-0.43
-0.92,0.03,-0.43
-0.92,0.03,-0.42
-0.92,0.03,-0.42
-0.93,0.03,-0.43
-0.93,0.03,-0.43
-0.92,0.03,-0.43
-0.92,0.03,-0.43
-0.93,0.03,-0.43
-0.92,0.03,-0.43
-0.92,0.03,-0.43
-0.92,0.02,-0.43
-0.92,0.02,-0.43
-0.92,0.02,-0.43
-0.93,0.02,-0.43
-0.93,0.02,-0.42
-0.92,0.03,-0.43
-0.92,0.03,-0.43
-0.92,0.03,-0.43
-0.92,0.03,-0.43
-0.92,0.03,-0.42
-0.92,0.03,-0.42
